Resource,URL,Details
Skeena Fish Passage Restoration Planning 2022,https://newgraphenvironment.github.io/fish_passage_skeena_2022_reporting,"Interactive reporting for Fish passage and habitat confirmation assessments in the Morice River, Zymoetz River and Kispiox River watershed groups. Fish sampling conducted."
Bulkley River Watershed Group Fish Passage Restoration Planning 2022,https://newgraphenvironment.github.io/fish_passage_bulkley_2022_reporting/,Interactive reporting for fish passage assessments and habitat confirmation assessments at sites in the Bulkley River watershed group. Fish sampling with PIT tagging conducted.
Bulkley River and Morice River Watershed Groups Fish Passage Restoration Planning 2021,https://newgraphenvironment.github.io/fish_passage_skeena_2021_reporting/,Interactive reporting for Fish passage assessments and habitat confirmation assessments in the Bulkley River and Morice River watershed groups. Fish sampling conducted.
Bulkley River and Morice River Watershed Groups Fish Passage Restoration Planning 2020,https://newgraphenvironment.github.io/fish_passage_bulkley_2020_reporting/,Interactive reporting for fish passage assessments and habitat confirmation assessments in the Bulkley River and Morice River watershed groups. Fish sampling conducted.
Elk River Watershed Group Fish Passage Restoration Planning 2022,https://newgraphenvironment.github.io/fish_passage_elk_2022_reporting/,"Interactive reporting for fish passage assessments and habitat confirmation assessments in the Elk River watershed group. Fish sampling, fish habitat assessment procedures, temperature monitoring and stream discharge measurements were conducted."
Elk River Watershed Group Fish Passage Restoration Planning 2021,https://newgraphenvironment.github.io/fish_passage_elk_2021_reporting/,"Interactive reporting for fish passage assessments and habitat confirmation assessments in the Elk River watershed group. Fish sampling, fish habitat assessment procedures and temperature monitoring were conducted."
Elk River Watershed Group Fish Passage Restoration Planning 2020,https://newgraphenvironment.github.io/fish_passage_elk_2020_reporting/,Interactive reporting for fish passage assessments and habitat confirmation assessments in the Elk River watershed group. Fish sampling conducted.
Fraser Fish Passage Restoration Planning 2023,https://newgraphenvironment.github.io/fish_passage_fraser_2023_reporting/,"REPORT NOT YET LIVE (20240220). 
Interactive reporting for fish passage assessments in the Nechacko River, Lower Chilako River, Francois Lake, Upper Fraser River and Mork River watershed groups.  Repository at https://github.com/NewGraphEnvironment/fish_passage_fraser_2023_reporting"
Richfield Creek Riparian Restoration 2022,https://github.com/NewGraphEnvironment/fish_passage_bulkley_2022_reporting/raw/main/docs/SERN_Richfield_Fencing_2022_Final%20Report.pdf,"Leveraging other investments in the watershed by Morice Watershed Monitoring Trust (streambank stabilization and riparian planting at four locations) and A Rocha Canada, we supported installation of 840m of cattle exclusion fence on previously unfenced areas of rangeland adjacent to high fisheries values in Richfield Creek. Installation of live cuttings in four distinct polygons covering 866m2 of riparian area. Use of drone to gather Lidar and temperature data to help inform future process-based restoration actions in the Upper Bulkley Watershed."
Richfield Creek Riparian Fencing 2021,https://github.com/NewGraphEnvironment/fish_passage_skeena_2021_reporting/raw/master/docs/Attachment_4.pdf,Leveraging other investments in the watershed by Morice Watershed Monitoring Trust (streambank stabilization and riparian planting at four locations) we supported the installation of 1100 m of fencing on the west of Richfield Creek in in the Upper Bulkley Watershed.
fish-passage-22,https://github.com/poissonconsulting/fish-passage-22,Mapping stream discharge and temperature causal effects pathways to focus aquatic restoration actions in areas of highest potential for positive impacts on fisheries values.  Includes scripts to download real-time hydrometric flow and temperature data as well as Pacific Climate Impact Consortium hydrometric data (modelled historic and projected)
fissr-explore,https://github.com/NewGraphEnvironment/fissr_explore,Exploratory analysis of provincial fish sampling dataset to explore utility for building evidence based approach to the parameters used to model the best habitat for individual fish species to help make decisions around where to invest in aquatic restoration activities
fissr-explore-21,https://www.poissonconsulting.ca/f/1386346791,"Analysis of relationships between rainbow trout density (from province wide electrofishing dataset) , channel width and gradient "
channel-width-21b,https://www.poissonconsulting.ca/f/859859031,Modelled estimate of channel width based on watershed area and mean annual precipitation.  Used to help estimate rearing and spawning suitability of streams for fish use by numerous species in .
bcdata,https://github.com/smnorris/bcdata,Simplifies downloads of BC geographic data () and DEMs. Integrates with postgres databases using schema and table names identical to those of the province.  Allows real-time updates of datasets and collaborative sharing of scripts/workflows.
fwapg,https://github.com/smnorris/fwapg,"Extends British Columbia's Freshwater Atlas (FWA) with PostgreSQL/PostGIS to enable speedy upstream/downstream queries throughout BC, quickly and cleanly generate watershed boundaries upstream of arbitrary locations, enable quickly serving FWA features as vector tiles, etc."
bcfishobs,https://github.com/smnorris/bcfishobs,Locate up to date fish observation points as linear referencing events on the Freshwater Atlas.
bcbrat,https://github.com/smnorris/bcbrat,Experimental tool for generating BRAT project data for British Columbia watersheds.
roadintegrator,https://github.com/smnorris/roadintegrator,Merge multiple BC road datasets into a single layer for Cumulative Effects analysis
designatedlands,https://github.com/smnorris/designatedlands,Combine spatial data for 40+ designations that contribute to land management to create a single 'Designated Lands' layer for British Columbia
Fish Passage Maps,https://hillcrestgeo.ca/outgoing/fishpassage/projects/,"Georeferenced maps for all Skeena watershed groups, Elk River as well as the Parsnip River, Crooked, and Carp River watershed groups in the Peace Region.  Can be imported to phone or table for navigation real-time in Avenza Maps."
Mergin Maps,https://github.com/MerginMaps,Geodata platform for hosting shared QGIS projects on the cloud and collecting field data through forms on phones and tablets.  Open source software with paid plans to simplify setup and maintenance.  Command line tools to interact with projects including for syncing and permissions.
