layer_name_raw,layer_title,layer_description,crs,bbox,attributes,geom_type
geonode:bulkely_watershed_clipped,Bulkley Watershed Boundary,Bulkley Watershed Boundary,EPSG:3005,,"the_geom, WATERSHED_, WATERSHE_1, WATERSHE_2, AREA_HA, FEATURE_CO, GEOMETRY_L, GEOMETRY_A, bulkely_watershed_clipped",gml:MultiSurfacePropertyType
geonode:ck_spawning_kr_june2013,Chinook Salmon Presence,"Identified chinook spawning and presence by stream segments within the Skeena watershed. Date stamp of data is June 20, 2013.",EPSG:3005,,"the_geom, ID, Descriptio, Name, LengthI, AreaI, ck_spawning_kr_june2013",gml:MultiLineStringPropertyType
geonode:ch_spawning_kr_march28,Chum Salmon Presence,"Identified chum spawning and presence by stream segment within the Skeena watershed. Date stamp of data is April 22, 2013. ",EPSG:3005,,"the_geom, ID, Descriptio, Name, LengthI, ch_spawning_kr_march28",gml:MultiLineStringPropertyType
geonode:climate_stns_egis_nwbc_2018_09_05,Climate Stations - Northwest BC,Combined Environmental Canada Climate Station and BC Wildfire Weather Station locations for Northwest BC. Full datasets are available from https://catalogue.data.gov.bc.ca/dataset/bc-climate-stations and https://catalogue.data.gov.bc.ca/dataset/bc-wildfire-active-weather-stations.,EPSG:3153,,"the_geom, STATION_TY, CUST_ORG, STN_NAME, DESCRIPTN, LOCALITY, LATITUDE, LONGITUDE, ELEVATION, ACTV_STN, START_YEAR, END_YEAR, DT_UPDATE, CLIMATE_ID, WEBSITE, TC_ID, WMO_ID, SEQ_ID, WTHR_STTNS, STTN_CD, INSTLL_DT, STTN_ACRON, climate_stns_egis_nwbc_2018_09_05",gml:PointPropertyType
geonode:coho_spawning_aug30,Coho Salmon Presence,"Identified coho spawning, presence and rearing by stream segment within the Skeena watershed. Date stamp of data is Aug 30, 2013. ",EPSG:3005,,"the_geom, ID, Descriptio, Name, LongitudeI, LatitudeI, LengthI, coho_spawning_aug30",gml:MultiLineStringPropertyType
geonode:crown_tenures_sec_16_17_py_databc_kalum_epsg3,Crown Tenures - Section 16 and 17,"This layer comprises Section 15, 16, 17, and Notation of Interest Crown tenures clipped to the Kalum LRMP area. Derived from the TANTALIS dataset published by the BC Ministry of Forests, Lands, Natural Resource Operations and Rural Development. Full dataset available at https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures",EPSG:3005,,"the_geom, INTRID_SID, TEN_STAGE, TEN_STATUS, TEN_TYPE, TEN_SUBTYP, TEN_PURPOS, TEN_SUBPRP, CL_FILE, APP_TYP_CD, TEN_DOCMNT, TEN_EXPIRY, TEN_LOCATN, TEN_LGLDSC, TEN_A_DRVN, TEN_A_HECT, RESP_BUS_U, DSP_TR_SID, CD_CHR_STG, FEAT_CODE, SHAPE, AREA_SQM, FEAT_LEN, OBJECTID, crown_tenures_sec_16_17_py_databc_kalum_epsg3",gml:MultiSurfacePropertyType
geonode:crown_tenure_waterpower_nwbc_databc_2014_12_10,Crown Tenures - Waterpower,"This layer contains crown tenures related to waterpower. The layer has been modified by EGIS in Dec. 2018 from the full layer, available at https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures.",EPSG:3005,,"the_geom, OBJECTID, FEAT_CODE, DSP_TR_SID, RESP_BUS_U, TEN_A_HECT, TEN_A_DRVN, TEN_LGLDSC, CD_CHR_STG, TEN_EXPIRY, SHAPE, TEN_DOCMNT, CL_FILE, TEN_SUBPRP, TNRSTTS, TEN_PURPOS, TEN_SUBTYP, TEN_TYPE, TEN_STAGE, INTRID_SID, TEN_LOCATN, crown_tenure_waterpower_nwbc_databc_2014_12_10",gml:MultiSurfacePropertyType
geonode:crown_tenure_windpower_nwbc_databc_2014_12_10,Crown Tenures - Windpower,"This layer contains crown tenures related to windpower. The layer has been modified by EGIS in Dec. 2018 from the full layer, available at https://catalogue.data.gov.bc.ca/dataset/tantalis-crown-tenures.",EPSG:3005,,"the_geom, OBJECTID, FEAT_CODE, DSP_TR_SID, RESP_BUS_U, TEN_A_HECT, TEN_A_DRVN, TEN_LGLDSC, CD_CHR_STG, TEN_EXPIRY, SHAPE, TEN_DOCMNT, CL_FILE, TEN_SUBPRP, TNRSTTS, TEN_PURPOS, TEN_SUBTYP, TEN_TYPE, TEN_STAGE, INTRID_SID, TEN_LOCATN, crown_tenure_windpower_nwbc_databc_2014_12_10",gml:MultiSurfacePropertyType
geonode:dra_nwbc_databc_2018_11_27,Digital Road Atlas (DRA) - Master Partially-Attributed Roads,"Digital Road Atlas Master Partially-Attributed Roads (DGTL ROAD ATLAS MPAR SP) provides partial information about roads in British Columbia. This data set represents the public data that is available for the Digital Road Atlas.

This dataset has been clipped to Northwest BC, and attributes have been culled. The full dataset is available at https://catalogue.data.gov.bc.ca/dataset/digital-road-atlas-dra-master-partially-attributed-roads.",EPSG:3005,,"the_geom, NUMLANES, ROAD_CLASS, RDALIAS1, RDALIAS2, RDALIAS3, RDNAME, RDSURFACE, SEGLNGTH2D, dra_nwbc_databc_2018_11_27",gml:MultiLineStringPropertyType
geonode:POD,ESI Fish & Fish Habitat Indicator 6.10: Water Licenses,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total number of water licenses in the aquatic assessment unit (AU).,EPSG:3005,,"the_geom, FID, POD, POD_cl, AU_name, WTRSHD_, POD",gml:MultiSurfacePropertyType
geonode:GW,ESI Fish & Fish Habitat Indicator 6.11: Groundwater Wells,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total number of groundwater wells in the aquatic assessment unit (AU).,EPSG:3005,,"the_geom, FID, GW, GW_cl, AU_name, WTRSHD_, GW",gml:MultiSurfacePropertyType
geonode:Wt_r,ESI Fish & Fish Habitat Indicator 6.12: Water Allocation Restrictions,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total number of water allocation restrictions in the aquatic assessment unit (AU).,EPSG:3005,,"the_geom, FID, Wt_r, Wt_r_cl, AU_name, WTRSHD_, Wt_r",gml:MultiSurfacePropertyType
geonode:Mine_v3,ESI Fish & Fish Habitat Indicator 6.13: Mines,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the presence of mines in the aquatic assessment unit (AU).,EPSG:3005,,"the_geom, FID, Mine, Mine_cl, AU_name, WTRSHD_, Mine_v3",gml:MultiSurfacePropertyType
geonode:Plln,ESI Fish & Fish Habitat Indicator 6.14: Point Source Pollution,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total number of pollutant point sources (i.e., wastewater discharges, Notice of Work mine sites, remediation sites, and placer mine tenure intersection with streams) in the aquatic assessment unit (AU).",EPSG:3005,,"the_geom, FID, Plln, Plln_cl, AU_name, WTRSHD_, Plln",gml:MultiSurfacePropertyType
geonode:Wint,ESI Fish & Fish Habitat Indicator 6.15: Low Flow Sensitivity (Winter),This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the percentage of streams in the aquatic assessment unit (AU) that are considered seasonally low flow sensitive during the winter.,EPSG:3005,,"the_geom, FID, Wint, Wint_cl, AU_name, WTRSHD_, Wint",gml:MultiSurfacePropertyType
geonode:DDR,ESI Fish & Fish Habitat Indicator 6.16:  Drainage Density Ruggedness,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the drainage density ruggedness (DDR) in the aquatic assessment unit (AU).,EPSG:3005,,"the_geom, FID, DDR, DDR_cl, AU_name, WTRSHD_, DDR",gml:MultiSurfacePropertyType
geonode:Lk,ESI Fish & Fish Habitat Indicator 6.17: Lakes and Wetlands (and Man-made Waterbodies),"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the percentage of the total area of the aquatic assessment unit (AU) that is represented by lakes, wetlands and man-made water bodies (i.e., reservoirs and canals).",EPSG:3005,,"the_geom, FID, Lk, Lk_cl, AU_name, WTRSHD_, Lk",gml:MultiSurfacePropertyType
geonode:Shab,ESI Fish & Fish Habitat Indicator 6.18: Salmonid Habitat Extent,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total length of habitat that is either known to be or presumed to be accessible to salmonids (i.e., inclusive of both Observed and Inferred (modeled) fish habitat classifications for 1:20K FWA stream reaches) within an aquatic assessment unit (AU).",EPSG:3005,,"the_geom, FID, Shab, Shab_cl, AU_name, WTRSHD_, Shab",gml:MultiSurfacePropertyType
geonode:Sspn,ESI Fish & Fish Habitat Indicator 6.19: Salmon Spawning Extent,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total summed length of identified historical spawning habitat (by individual salmon species and all species combined) within an aquatic assessment unit (AU).,EPSG:3005,,"the_geom, FID, Sspn, Sspn_cl, AU_name, WTRSHD_, Sspn",gml:MultiSurfacePropertyType
geonode:StrXing_Coast,ESI Fish & Fish Habitat Indicator 6.2: Road/Stream Crossing Density (Coastal),"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total number of road/stream crossings (#) in an aquatics assessment unit (AU) divided by the total net area (km2) of the AU (net AU area excludes large lakes, water, and glaciers/ice in the AU area calculation).",EPSG:3005,,"the_geom, FID, StrXing, StrXng_, AU_name, WTRSHD_, COASTAL, StrXing_Coast",gml:MultiSurfacePropertyType
geonode:StrXing_Interior,ESI Fish & Fish Habitat Indicator 6.2: Road/Stream Crossing Density (Interior),"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total number of road/stream crossings (#) in an aquatics assessment unit (AU) divided by the total net area (km2) of the AU (net AU area excludes large lakes, water, and glaciers/ice in the AU area calculation).",EPSG:3005,,"the_geom, FID, StrXing, StrXng_, AU_name, WTRSHD_, COASTAL, StrXing_Interior",gml:MultiSurfacePropertyType
geonode:R100,ESI Fish & Fish Habitat Indicator 6.3: Road Density near Streams,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total length of roads (km) within 100m of streams in an aquatics assessment unit (AU) divided by the total net area (km2) of the AU (net AU area excludes large lakes, water, and glaciers/ice in the AU area calculation).",EPSG:3005,,"the_geom, FID, R100, R100_cl, AU_name, WTRSHD_, R100",gml:MultiSurfacePropertyType
geonode:RStp,ESI Fish & Fish Habitat Indicator 6.4: Road Density on Steep (Potentially Unstable) Slopes,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total length of roads (km) on steep slopes (> 60%) in an aquatics assessment unit (AU) divided by the total net area (km2) of the AU (net AU area excludes large lakes, water, and glaciers/ice in the AU area calculation).",EPSG:3005,,"the_geom, FID, RStp, RStp_cl, AU_name, WTRSHD_, RStp",gml:MultiSurfacePropertyType
geonode:ECA,ESI Fish & Fish Habitat Indicator 6.5: Equivalent Clearcut Area (ECA),This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the percentage of the total area of the aquatic assessment unit (AU) that is considered hydrologically equivalent to a clearcut forest (ECA).,EPSG:3005,,"the_geom, FID, ECA, ECA_cl, AU_name, WTRSHD_, ECA",gml:MultiSurfacePropertyType
geonode:Sd_g,ESI Fish & Fish Habitat Indicator 6.6: Young Second Growth Forest (low flow impacts),"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the percentage of the total net area of the aquatic assessment unit (AU) that is represented by young second growth forest (< 80 years old) (net AU area excludes large lakes, water, and glaciers/ice in the AU area calculation).",EPSG:3005,,"the_geom, FID, Sd_g, Sd_g_cl, AU_name, WTRSHD_, Sd_g",gml:MultiSurfacePropertyType
geonode:Rp_d,ESI Fish & Fish Habitat Indicator 6.7: Riparian Disturbance,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the percentage of the total stream length within an aquatic assessment unit (AU) that has been disturbed (by natural causes or human actions).,EPSG:3005,,"the_geom, FID, Rp_d, Rp_d_cl, AU_name, WTRSHD_, Rp_d",gml:MultiSurfacePropertyType
geonode:Tt_d,ESI Fish & Fish Habitat Indicator 6.8: Total Land Disturbance,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the percentage of the total area of the aquatic assessment unit (AU) that has been disturbed (by natural causes or human actions).,EPSG:3005,,"the_geom, FID, Tt_d, Tt_d_cl, AU_name, WTRSHD_, Tt_d",gml:MultiSurfacePropertyType
geonode:Rds,ESI Fish and Fish Habitat Indicator 6.1: Road Density,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat. This indicator reports the total length of roads (km) in an aquatics assessment unit (AU) divided by the total net area (km2) of the AU (net AU area excludes large lakes, water, and glaciers/ice in the AU area calculation).",EPSG:3005,,"the_geom, FID, Rds, Rds_cl, AU_name, WTRSHD_, Rds",gml:MultiSurfacePropertyType
geonode:Dams,ESI Fish and Fish Habitat Indicator 6.9: Dams and Impoundments,This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Fish and Fish Habitat (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-fish-and-fish-habitat-2020). This indicator reports the total number of human caused dams in the aquatic assessment unit (AU).,EPSG:3005,,"the_geom, FID, Dams, Dams_cl, AU_name, WTRSHD_, Dams",gml:MultiSurfacePropertyType
geonode:esi_wetlands_4_1_py_esi_ssaf_area_3005_2020_0,ESI Wetland Indicator 4.1 Stressor: Equivalent Clearcut Area,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Wetlands (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-wetlands). This indicator, Equivalent Clearcut Area, is a common metric to summarize cumulative watershed effects that combine various land disturbances and forest regrowth.",EPSG:3005,,"the_geom, Wetland_Co, ECA_pcnt, esi_wetlands_4_1_py_esi_ssaf_area_3005_2020_0",gml:MultiSurfacePropertyType
geonode:esi_wetlands_4_10_py_esi_ssaf_area_3005_2020_,ESI Wetland Indicator 4.10 Benefit: Water Purification,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Wetlands (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-wetlands). This indicator, Water Purification Benefit, provides a measure of benefits that may be provided by wetland water purification.",EPSG:3005,,"the_geom, Wetland_Co, SocAsWQCl, esi_wetlands_4_10_py_esi_ssaf_area_3005_2020_",gml:MultiSurfacePropertyType
geonode:esi_wetlands_4_11_py_esi_ssaf_area_3005_2020_,ESI Wetland Indicator 4.11 Function: Aquatic Life Support (Fish),"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Wetlands (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-wetlands). This indicator, Aquatic Life Support, provides a measure of wetlands' capacity to support fish populations.",EPSG:3005,,"the_geom, Wetland_Co, AqLifeSupp, esi_wetlands_4_11_py_esi_ssaf_area_3005_2020_",gml:MultiSurfacePropertyType
geonode:esi_wetlands_4_12_py_esi_ssaf_area_3005_2020_,ESI Wetland Indicator 4.12 Function: Wildlife Habitat: Availability of Moose Forage and Screening,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Wetlands (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-wetlands). This indicator, Availability of Moose Forage and Screening, provides a measure of wetlands' value for moose forage and screening.",EPSG:3005,,"the_geom, Wetland_Co, MooseForag, esi_wetlands_4_12_py_esi_ssaf_area_3005_2020_",gml:MultiSurfacePropertyType
geonode:esi_wetlands_4_13_py_esi_ssaf_area_3005_2020_,ESI Wetland Indicator 4.13 Function: Wildlife Habitat: Connectivity,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Wetlands (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-wetlands). This indicator, Wildlife Habitat Connectivity, provides a measure of intact habitat and landscape connectivity surrounding wetlands.",EPSG:3005,,"the_geom, Wetland_Co, MinPctTarg, MatOGpct, ConnRisk, esi_wetlands_4_13_py_esi_ssaf_area_3005_2020_",gml:MultiSurfacePropertyType
geonode:esi_wetlands_4_14_py_esi_ssaf_area_3005_2020_,"ESI Wetland Indicator 4.14 Function: Parks, Protected Areas, and other Wildlife Conservation Designations","This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Wetlands (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-wetlands). This indicator, Parks, Protected Areas, and other Wildlife Conservation Designations, provides a measure of the proportion of the land base that includes special provisions for the protection of wildlife.",EPSG:3005,,"the_geom, Wetland_Co, ProtOvrlp, esi_wetlands_4_14_py_esi_ssaf_area_3005_2020_",gml:MultiSurfacePropertyType
geonode:esi_wetlands_4_16_py_esi_ssaf_area_3005_2020_,ESI Wetland Indicator 4.16 Benefit: Cultural Value: Accessibility,"This layer was produced as part of the Skeena Sustainability Assessment Forum's State of the Values Report for Wetlands (https://data.skeenasalmon.info/dataset/ssaf-state-of-the-values-report-for-wetlands). This indicator, Accessibility, provides a measure of accessibility of wetlands.",EPSG:3005,,"the_geom, Wetland_Co, CultAccCl, esi_wetlands_4_16_py_esi_ssaf_area_3005_2020_",gml:MultiSurfacePropertyType
