Number,Photo Series,Time,Easting,Northing,Notes,Theme
139,UB-512,14:31:35,674850,6042113,cattle farm to river,Agriculture
140,UB-513 to 515,14:32:10,674572,6042590,field to river,Agriculture
141,UB-516 to 522,14:32:21,674492,6042716,Topley crossing,Stream Crossing
142,UB-523,14:33:36,673931,6043020,rail to river,Railway
143,UB-524 to 526,14:33:48,673672,6043081,field to river,Agriculture
144,UB-527 to 532b,14:34:13,673142,6043205,Rail impediment,Railway
145,UB-533 to 534,14:35:18,671960,6043267,ploughed field to river,Agriculture
146,UB-535 to 536,14:36:48,672014,6043155,Richfield confluence,Other
147,UB-537 to 538,14:37:06,672098,6043368,rail bridge/richfield,Stream Crossing
148,UB 539,14:37:27,672217,6043636,Homested on river bank,Other
149,UB-539a,14:37:43,672332,6043861,Richfield village,Other
150,UB-540 to 545,14:38:01,672459,6044122,Culvert on Richfield creek,Stream Crossing
151,UB-546 to 548,14:40:55,670206,6043943,rail bridge,Stream Crossing
152,UB-549 to 555,14:41:20,670218,6044233,Johnny-David confluence/field to river,Agriculture
153,UB-556 to 558,14:42:01,670260,6044784,Johnny_David Hwy culvert,Stream Crossing
154,UB-559 to 561,14:43:22,669614,6044178,Log jam on Bulkley,Log jam
156,UB-564 to 566,14:44:09,668935,6043858,rip-rap and rail impediment,Railway
157,UB-567 to 568,14:44:38,668718,6044141,field to river,Agriculture
158,UB-569 to 570,14:45:13,668132,6044225,field to river,Agriculture
159,UB-571 to 576,14:45:35,667876,6044164,rail bridge/spawners,Spawning
160,UB-577 to 580,14:46:02,667599,6043901,rail to river,Railway
161,UB-581 to 584,14:46:46,666827,6043710,field to river,Agriculture
162,UB-585 to 586,14:47:04,666637,6044012,field to river,Agriculture
163,UB-587 to 588,14:47:58,665701,6043914,Byman Ck rail bridge,Stream Crossing
164,,14:48:29,665847,6044090,Byman Ck Hwy bridge?,Stream Crossing
165,UB-589 to 595,14:49:12,666717,6044190,Byman Ck Hwy culvert,Stream Crossing
166,,14:50:41,665631,6043933,Perow Ck?,Other
167,UB-596 to 597,14:50:56,665378,6043809,Byman/Perow Ck confluence,Other
168,UB-598 to 600,14:51:14,665013,6043738,field to river,Agriculture
169,UB-601 to 608,14:51:49,664394,6043652,McQuarrie Ck rail bridge,Stream Crossing
170,UB-609 to 610,14:52:45,663942,6043256,Rail impediment,Railway
171,UB-611 to 612,14:53:44,663396,6042264,Rail impediment,Railway
172,UB-613 to 616,14:54:40,662962,6041236,Rail impediment,Railway
173,UB-617 to 623,14:55:17,662763,6040601,field to river,Agriculture
174,UB-624 to 625,14:55:41,662902,6040258,Log jam,Log jam
175,UB-626 to 627,14:56:10,663203,6039849,field to river,Agriculture
176,UB-628 to 630,14:56:39,662888,6039572,cattle on river bank,Agriculture
177,UB-631,14:57:27,662554,6038924,field to river,Agriculture
178,UB-632,14:58:08,661935,6038530,field to river,Agriculture
179,UB-633,14:58:24,661750,6038638,field to river,Agriculture
180,UB-634 to 639,14:59:00,661181,6038563,Rail impediment,Railway
181,UB-640 to 642,14:59:26,661220,6038243,field to river,Agriculture
182,UB-643 to 645 [UB-645b],15:00:28,661095,6037670,field to river,Agriculture
183,UB-646 to 649,15:00:46,660929,6037901,Rail impediment,Railway
184,,15:01:16,660629,6037716,Rail impediment,Railway
185,UB-650 to 651,15:01:28,660804,6037542,field to river,Agriculture
186,UB-652 to 653,15:02:22,660186,6037094,field to river/new felling,Agriculture
187,UB-654,15:02:38,659934,6037048,Log jam,Log jam
188,UB-655,15:02:51,660025,6036894,field to river,Agriculture
189,UB-656 to 659,15:03:12,659727,6036905,Beaver dam,Beaver
190,UB-660 to 662,15:03:34,659600,6036720,Rail impediment,Railway
191,UB-663,15:04:04,659158,6036486,Rail impediment,Railway
192,UB-664 to 667,15:04:16,658950,6036296,field to river,Agriculture
193,UB-668,15:04:59,658767,6036267,Rail impediment,Railway
194,UB-669 to 671,15:05:12,658629,6036169,Rail impediment,Railway
195,UB-672,15:05:53,658302,6035960,field to river/new felling,Agriculture
196,UB-673,15:06:18,658300,6035785,Bridge crossing,Stream Crossing
198,UB-675 to 677,15:08:06,656590,6035193,Rail impediment,Railway
199,UB-678 to 683,15:08:50,656233,6034772,Rail impediment,Railway
200,UB-684 to 687,15:09:29,655751,6034399,Log jam/rail impediment,Railway
201,UB-688,15:10:26,655269,6033756,Log jam,Log jam
202,UB-689,15:10:55,655385,6033514,Log jam,Log jam
203,UB-690 to 692,15:12:26,654578,6032198,field to river,Agriculture
204,UB-693 to 694,15:12:46,654145,6032016,field to river,Agriculture
205,UB-695 to 698,15:13:08,653873,6031629,cows to river/salmon/road impediment,Other
206,UB-699 to 704,15:13:29,653536,6031438,"bridge, road impediment",Stream Crossing
207,UB-705 to 706,15:14:10,653033,6031247,Houston bridge,Stream Crossing
208,UB-707 to 708,15:14:47,652529,6031048,Houston rip-rap,Rip-rap
209,UB-709 to 712,15:15:32,651559,6030710,Houston rip-rap,Rip-rap
210,UB-713 to 715,15:15:58,651100,6030372,Houston settling ponds,Other
211,UB-716,15:16:14,651063,6030024,Westland rip-rap,Rip-rap
212,UB-717 to 719,15:16:47,650701,6029641,rail rip-rap,Railway
